,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
28,treatment_5,2.0,29.0,1.0,1.0,12.0,6.0,0.6666666666666666,1.0,0.35,0.30000000000000004,0.8333333333333334,1.0,0.2975,0.19625,0.3333333333333333,1.0,0.3,0.14,0.2708333333333333,0.7083333333333334,0.2453615456438176,0.7105531873849875,0.5558511297721808,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.0025000000000000022,0.3158333333333333,0
29,treatment_6,2.0,27.0,1.0,1.0,9.0,5.0,0.16666666666666666,1.0,0.35,0.0,0.3333333333333333,1.0,0.37875,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.7916666666666666,0.39887113467728097,0.8931191460835998,0.3069082910033387,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.37875,0.24291666666666667,0
30,treatment_1,2.0,23.0,1.0,3.0,13.0,7.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.7083333333333334,0.42642029435406537,0.8408275472210489,0.1021605970103281,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
31,treatment_2,2.0,24.0,1.0,3.0,13.0,7.0,0.5,1.0,0.315,0.18875,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4791666666666667,0.7916666666666667,0.47715076950960095,0.9316246004809309,0.17726180158594862,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.105,0
32,treatment_3,1.0,32.0,2.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333331,0.45833333333333337,0.20346668243774008,0.4019494435784982,0.5709015302100582,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
33,treatment_4,1.0,40.0,2.0,1.0,11.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5625,0.5,0.5570940793935263,0.5127550759192566,0.36780288831834695,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
34,treatment_5,1.0,33.0,1.0,1.0,10.0,6.0,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,0.5,0.5,0.8333333333333334,0.4986815436937093,0.7839560035386429,0.8906528065578996,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.5,1
35,treatment_6,1.0,44.0,1.0,1.0,12.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,1.0,0.2,0.2,0.3333333333333333,0.5833333333333333,0.3377010998937127,0.5876476973498264,0.4523013950299753,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.2,0.06666666666666667,0
36,treatment_1,1.0,49.0,1.0,1.0,9.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.125,0.33333333333333337,0.11048435889053977,0.21940538336739368,0.6433943355357173,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
37,treatment_2,1.0,47.0,1.0,1.0,5.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666669,0.2916666666666667,0.1723007023696832,0.4203374313510808,-0.26439422336330604,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
