,treatment,gender,age,nationality,education,field_of_work,political_party,undefined_question_1,undefined_question_2,undefined_question_3,undefined_question_4,zsg_question_1,zsg_question_2,zsg_question_3,zsg_question_4,nzsg_question_1,nzsg_question_2,nzsg_question_3,nzsg_question_4,nbzsg_avg,nredist_avg,bzsg_factor,redist_factor,redist_factor_2,undefined_effort_diff,zsg_effort_diff,nzsg_effort_diff,undefined_effort_diff_d,zsg_effort_diff_d,nzsg_effort_diff_d,undefined_effort_winner,zsg_effort_winner,nzsg_effort_winner,undefined_effort_loser,zsg_effort_loser,nzsg_effort_loser,counter,diff_zs_nzs,avg_redist_amount,zero_redist
78,treatment_1,2.0,23.0,1.0,3.0,15.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.0,0.75,0.9,0.5416666666666666,0.5833333333333334,0.5117794157917889,0.6741879188392564,0.1652561001999794,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.75,0.25,0
79,treatment_2,1.0,24.0,1.0,3.0,15.0,6.0,0.6666666666666666,1.0,0.4275,0.22375,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3125,0.2916666666666667,0.3053093412547179,0.29235594188550657,0.30000383414589543,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.1425,0
80,treatment_3,1.0,30.0,3.0,1.0,8.0,4.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6875000000000001,0.875,0.6944686299989596,0.9358814322513827,0.539408300991565,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
81,treatment_4,2.0,22.0,1.0,1.0,7.0,6.0,0.8333333333333334,1.0,0.5,0.48,0.8333333333333334,1.0,0.8,0.4,0.5,0.0,0.0,0.0,0.22916666666666666,0.75,0.232122848915442,0.952779614747051,-0.045584282507708636,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.8,0.43333333333333335,0
82,treatment_5,1.0,32.0,1.0,1.0,9.0,6.0,0.5,1.0,0.5,0.5,0.5,1.0,0.49875,0.49625,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.9583333333333334,0.30884922407664867,0.9801116252085723,0.6980551743488838,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.49875,0.3329166666666667,0
83,treatment_6,2.0,34.0,1.0,1.0,12.0,2.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2708333333333333,0.4583333333333333,0.2343148411492742,0.46212786534001515,0.3672510345450033,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
84,treatment_1,3.0,30.0,1.0,1.0,11.0,6.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.9583333333333334,0.48485793554187295,0.9801116252085723,0.6980551743488838,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
85,treatment_2,1.0,38.0,1.0,1.0,7.0,4.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.10416666666666666,0.41666666666666663,0.09478756723043893,0.34086486510065583,0.6443471734656476,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
86,treatment_3,1.0,25.0,1.0,1.0,4.0,6.0,0.6666666666666666,1.0,0.3,0.2,0.6666666666666666,1.0,0.4,0.25,0.6666666666666666,1.0,0.30625,0.245,0.3958333333333333,0.7916666666666667,0.43238003927750635,0.8065789245941699,0.5939535858333347,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.09375,0.3354166666666667,0
87,treatment_4,2.0,63.0,1.0,5.0,10.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.20833333333333331,0.7083333333333333,0.2040389262286382,0.699877439504976,0.528249683393722,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
88,treatment_5,1.0,29.0,1.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,1.0,0.5,0.5,0.43750000000000006,0.6666666666666667,0.439741161426638,0.6330243254922596,0.6663020307609685,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.5,0.16666666666666666,0
89,treatment_6,1.0,25.0,1.0,1.0,11.0,6.0,0.8333333333333334,1.0,0.5,0.5,0.8333333333333334,1.0,0.49375,0.50125,0.8333333333333334,1.0,0.5,0.5,0.25,0.9583333333333334,0.23096499004383192,0.9801116252085723,0.6980551743488838,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.006249999999999978,0.4979166666666666,0
90,treatment_1,1.0,40.0,1.0,1.0,7.0,4.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.39583333333333326,0.4166666666666667,0.4058671814786939,0.37675597752333656,0.5332000583054909,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
91,treatment_2,3.0,46.0,1.0,1.0,10.0,5.0,0.8333333333333334,1.0,0.50125,0.0,0.8333333333333334,1.0,0.36,0.5,0.8333333333333334,1.0,0.5,0.5,0.5625,0.8333333333333333,0.6372521591044383,0.7639693229452741,0.9924026195820486,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.14,0.45375000000000004,0
92,treatment_3,2.0,29.0,3.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3541666666666667,0.7916666666666666,0.455052170875475,0.7533154735527704,0.788351139760407,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
93,treatment_4,2.0,20.0,3.0,3.0,11.0,8.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.4166666666666667,0.5416666666666666,0.4111560847661196,0.6699091885812967,-0.020440365762454185,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
94,treatment_5,2.0,60.0,1.0,1.0,14.0,2.0,0.8333333333333334,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.5,0.58,0.3958333333333333,0.8333333333333333,0.3920139699254942,0.7639693229452741,0.9924026195820486,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,-0.5,0.3333333333333333,0
95,treatment_6,2.0,44.0,3.0,1.0,5.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.4825,0.515,0.3333333333333333,0.0,0.0,0.0,0.47916666666666663,0.4583333333333333,0.5094492634066375,0.46735654928931564,0.3302522860305367,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.4825,0.49416666666666664,0
96,treatment_1,1.0,32.0,1.0,4.0,4.0,7.0,0.16666666666666666,1.0,0.75,0.9325,0.16666666666666666,1.0,0.56,0.58,0.16666666666666666,1.0,0.55,0.44999999999999996,0.3333333333333333,0.6666666666666667,0.3324807842950862,0.7343225436257579,0.31450567142129016,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.010000000000000009,0.62,0
97,treatment_2,2.0,24.0,1.0,3.0,13.0,5.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.875,0.5502671829210531,0.8293545301685838,0.92820340884571,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
98,treatment_3,2.0,55.0,1.0,4.0,2.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.53375,0.14625,0.5,0.7083333333333334,0.4852697224570649,0.8182265246530299,0.2224097842917103,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.53375,0.17791666666666664,0
99,treatment_4,1.0,70.0,1.0,2.0,5.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.9166666666666666,0.29356016510191907,1.0012666394746923,0.47520909025522634,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
100,treatment_5,2.0,51.0,1.0,2.0,4.0,6.0,0.5,0.0,0.0,0.0,0.5,1.0,0.22125,0.57125,0.5,0.0,0.0,0.0,0.10416666666666666,0.6666666666666666,0.10106023623263051,0.7262611377203966,0.2684048507855981,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.22125,0.07375,0
101,treatment_6,1.0,30.0,1.0,4.0,4.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5416666666666666,0.7083333333333333,0.4685906396753889,0.7690453223756873,0.3244548273306417,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
102,treatment_1,2.0,53.0,1.0,1.0,10.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041666666666666,0.7499999999999999,0.6555024692131279,0.7744704878188905,0.5655050556667498,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
103,treatment_2,2.0,56.0,1.0,3.0,15.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2708333333333333,0.45833333333333326,0.2665017044986146,0.4140930982479163,0.524649839957609,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
104,treatment_3,2.0,56.0,1.0,2.0,5.0,6.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.20833333333333334,0.5833333333333333,0.18086918259428883,0.7326800538299562,-0.06614020224155959,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
105,treatment_4,2.0,58.0,1.0,4.0,5.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.10416666666666666,0.9166666666666666,0.07550245540171273,1.0012666394746923,0.47520909025522634,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
106,treatment_5,1.0,36.0,3.0,2.0,2.0,8.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4375,0.75,0.44865363841946626,0.952779614747051,-0.045584282507708636,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
107,treatment_6,1.0,37.0,3.0,1.0,9.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3125,0.75,0.30836359855405027,0.7944571684122594,0.4637552426426009,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
108,treatment_1,2.0,23.0,1.0,2.0,13.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.375,0.5416666666666667,0.36035035473169097,0.4035919333742998,0.9515474038729079,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
109,treatment_2,2.0,21.0,1.0,3.0,10.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3958333333333333,0.49999999999999994,0.4746455631648199,0.5581755010367051,0.22890345716297447,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
110,treatment_3,2.0,23.0,1.0,3.0,13.0,5.0,0.6666666666666666,1.0,0.26,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.47916666666666663,0.9166666666666666,0.4881210624763224,0.9347130985786313,0.6605045720610734,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.08666666666666667,0
111,treatment_4,1.0,47.0,1.0,1.0,12.0,6.0,0.3333333333333333,1.0,0.3,0.0,0.8333333333333334,1.0,0.75,0.75,0.16666666666666666,0.0,0.0,0.0,0.5,0.6666666666666667,0.5066533924703142,0.6277956415429592,0.7033007792754351,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.75,0.35000000000000003,0
112,treatment_5,2.0,19.0,1.0,3.0,13.0,6.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.39583333333333337,0.8333333333333334,0.4094627277317839,0.854591793198761,0.6130048138639116,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.5,1
113,treatment_6,2.0,28.0,1.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0625,0.7916666666666666,0.04509617569662879,0.7559298155274207,0.7698517655031738,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
114,treatment_1,2.0,66.0,1.0,2.0,14.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4375,0.125,0.44698617741430124,0.03636526854573112,0.39059502957220127,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
115,treatment_2,2.0,53.0,1.0,4.0,15.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.75,1.0,0.625,0.75,0.677777135206514,0.8862260738509898,0.13971119929813836,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.75,0.25,0
116,treatment_3,2.0,22.0,3.0,3.0,13.0,8.0,1.0,1.0,0.4,0.3,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4791666666666667,0.4583333333333333,0.5021962140806288,0.5327636550001331,0.08960304185101525,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.13333333333333333,0
117,treatment_4,1.0,20.0,1.0,3.0,13.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4375,0.9583333333333334,0.44584601401163915,0.977497283233922,0.716554548606117,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
118,treatment_5,1.0,21.0,1.0,3.0,13.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6875000000000001,0.5416666666666666,0.7345665586334582,0.6140313955652471,0.19245656242185152,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
119,treatment_6,2.0,34.0,2.0,1.0,10.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5416666666666666,0.5416666666666667,0.5439824391116613,0.5463314194839424,0.32239828185402414,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
120,treatment_1,2.0,25.0,1.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.625,0.48040742449439533,0.7010676716652351,0.2307033788810309,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
121,treatment_2,2.0,19.0,3.0,3.0,15.0,8.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,0.4,0.56,0.5,0.0,0.0,0.0,0.5625,0.5,0.52265073747713,0.5353560984872756,0.24755370103696475,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.4,0.13333333333333333,0
122,treatment_3,1.0,25.0,1.0,1.0,13.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2916666666666667,0.41666666666666663,0.27695758214148275,0.3634658876686749,0.5240979861842654,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
123,treatment_4,2.0,56.0,1.0,4.0,14.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.37625,0.225,0.2916666666666667,0.5833333333333334,0.2797367523426355,0.5569852688764462,0.5264497616756656,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.37625,0.12541666666666665,0
124,treatment_5,2.0,66.0,1.0,1.0,14.0,7.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.375,0.875,0.31651210784257705,0.9173626584474206,0.5673049773848063,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
125,treatment_6,1.0,30.0,1.0,1.0,13.0,4.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4166666666666667,0.625,0.40081079737478814,0.5650247762942996,0.7490006157545405,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
126,treatment_1,2.0,44.0,1.0,4.0,10.0,2.0,0.5,1.0,0.40875,0.2125,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6458333333333333,0.5833333333333334,0.6396058811536344,0.5584531756658528,0.4525966250447578,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.13625,0
127,treatment_2,2.0,21.0,1.0,1.0,13.0,2.0,0.8333333333333334,1.0,0.3725,0.24875,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3541666666666667,0.5,0.359886905662223,0.49831855087935123,0.3033470538234472,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.12416666666666666,0
128,treatment_3,2.0,24.0,1.0,1.0,13.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.9166666666666666,0.46298384440236084,0.8947397373918936,0.8640041981093712,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
129,treatment_4,2.0,27.0,1.0,1.0,11.0,5.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.0,0.2475,0.0,0.20833333333333334,0.7083333333333334,0.20381030323063562,0.7105531873849875,0.5558511297721808,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.2475,0.0825,0
130,treatment_5,1.0,22.0,1.0,1.0,13.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.42125,0.24875,0.3333333333333333,0.0,0.0,0.0,0.4166666666666667,0.9166666666666666,0.405199121586432,0.929484414629331,0.69750332057554,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.42125,0.14041666666666666,0
132,treatment_1,1.0,57.0,1.0,1.0,7.0,6.0,0.3333333333333333,1.0,0.2525,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.27083333333333337,0.4583333333333333,0.29534710836602357,0.3223241928091859,0.8486938833020716,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.08416666666666667,0
133,treatment_2,1.0,32.0,1.0,3.0,11.0,2.0,0.6666666666666666,1.0,0.31125,0.19125,0.8333333333333334,1.0,0.5,0.5,0.6666666666666666,0.0,0.0,0.0,0.22916666666666669,0.8333333333333334,0.2155007048062852,0.8334586774201486,0.6594008645143862,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.5,0.2704166666666667,0
134,treatment_3,1.0,32.0,3.0,2.0,12.0,8.0,0.16666666666666666,1.0,0.48,0.52,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,1.0,0.61625,0.6275,0.5208333333333333,0.37500000000000006,0.4783553471443126,0.40836835968805774,0.23635647718290043,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.61625,0.36541666666666667,0
135,treatment_4,2.0,24.0,1.0,1.0,13.0,6.0,0.6666666666666666,1.0,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.25,0.12375,0.3125,0.9583333333333334,0.3281990274086567,0.9801116252085723,0.6980551743488838,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,-0.25,0.25,0
137,treatment_6,1.0,21.0,1.0,3.0,13.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.37499999999999994,0.5416666666666667,0.3705632619807454,0.4730812878491742,0.6185456488052454,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
139,treatment_2,2.0,63.0,1.0,1.0,14.0,8.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6458333333333334,0.6666666666666666,0.6778161365965563,0.698431431203077,0.4256527865814469,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
140,treatment_3,2.0,24.0,1.0,1.0,10.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.49999999999999994,0.6666666666666666,0.546037047996928,0.6304099835176095,0.6848014050182017,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
141,treatment_4,2.0,24.0,1.0,1.0,13.0,6.0,0.6666666666666666,1.0,0.3,0.3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.9166666666666666,0.3581615716719587,0.929484414629331,0.69750332057554,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.09999999999999999,0
142,treatment_5,2.0,24.0,1.0,1.0,13.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.24625,0.0,0.16666666666666666,0.0,0.0,0.0,0.37500000000000006,0.6666666666666667,0.36927889735688235,0.7675993140737885,0.22185793051836664,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.24625,0.08208333333333333,0
143,treatment_6,1.0,39.0,2.0,1.0,5.0,8.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3125,0.41666666666666663,0.32268403265841233,0.2743113242045947,0.8296426552714947,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
144,treatment_1,2.0,29.0,1.0,3.0,13.0,6.0,0.8333333333333334,1.0,0.26625,0.17375,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.4,0.25,0.4583333333333333,0.8333333333333333,0.47645673653515686,0.9052409022655101,0.4371066341940725,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,-0.4,0.22208333333333333,0
145,treatment_2,2.0,20.0,2.0,3.0,12.0,8.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3125,0.875,0.3084730571975322,0.9225913423967209,0.5303062288703396,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
146,treatment_3,1.0,20.0,1.0,3.0,13.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.37500000000000006,0.41666666666666663,0.35394403377713984,0.34870789102460653,0.5888490506939478,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
149,treatment_6,1.0,26.0,1.0,1.0,4.0,6.0,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,1.0,0.50125,0.49875,0.6666666666666666,1.0,0.0,0.0,0.5833333333333333,0.6666666666666666,0.6689592711262773,0.861982561487169,-0.12068548708332914,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.50125,0.33375,0
150,treatment_1,2.0,53.0,1.0,4.0,8.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,0.26,0.2,0.5,0.0,0.0,0.0,0.20833333333333334,0.20833333333333331,0.20202567222488718,0.11387223195095124,0.45659416202659636,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.26,0.08666666666666667,0
151,treatment_2,1.0,56.0,1.0,2.0,8.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5416666666666666,0.9166666666666667,0.5535694417355217,0.967989869026662,0.5678568311581499,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.0,1
152,treatment_3,1.0,20.0,1.0,3.0,15.0,5.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.47916666666666663,0.7916666666666666,0.4493636957931559,0.8983478300329002,0.2699095424888721,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
153,treatment_4,1.0,20.0,2.0,3.0,13.0,8.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.41666666666666663,0.6666666666666666,0.4240897720095448,0.7543092242191267,0.21275585839714126,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
154,treatment_5,1.0,35.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.37499999999999994,0.875,0.408967147699066,0.8893145719486903,0.6229539697732632,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.0,1
155,treatment_6,2.0,51.0,1.0,4.0,2.0,4.0,0.6666666666666666,1.0,0.6,0.09999999999999998,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.4791666666666667,0.7083333333333334,0.47277436206085405,0.7970934088744174,0.2688058349421848,0.385,0.333,0.099,1,0,0,17,6,142,13,4,105,1,0.0,0.19999999999999998,0
156,treatment_1,2.0,24.0,1.0,4.0,12.0,8.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.7083333333333334,0.19393550314499752,0.8329845212970983,0.157658719782028,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.2,0.06666666666666667,0
157,treatment_2,2.0,36.0,3.0,1.0,10.0,1.0,0.0,1.0,0.54875,0.4825,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.375,0.5,0.378441756592399,0.456877282903207,0.5806998165026527,0.333,0.099,0.385,0,0,1,6,142,17,4,105,13,1,0.0,0.18291666666666664,0
158,treatment_3,1.0,27.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.8333333333333334,0.5966693718859297,0.9770231271108717,0.21481240387375886,0.099,0.385,0.333,0,1,0,142,17,6,105,13,4,1,0.0,0.0,1
